id,user,uid,version,changeset,timestamp
6148281,UE_Su,1061145,2,31354488,2015-05-21T21:04:12Z
6174413,balrog-kun,20587,2,4318130,2010-04-03T23:26:15Z
7675790,GPS_dr,117055,2,3575446,2010-01-09T05:04:51Z
7678765,Didger85,2429366,2,28923841,2015-02-18T03:15:55Z
7684122,balrog-kun,20587,2,4318130,2010-04-03T23:59:39Z
7689644,balrog-kun,20587,2,4318130,2010-04-04T00:20:57Z
10380023,DaveHansenTiger,7168,1,324388,2007-10-27T00:23:51Z
10382278,DavidJDBA,139555,5,1969888,2009-07-28T21:28:36Z
10383434,DKNOTT,1149057,12,14736791,2013-01-21T18:49:43Z
10384595,Chris CA,131218,4,6661158,2010-12-14T18:54:07Z
10385907,GPS_dr,117055,3,7606101,2011-03-19T16:07:32Z
10387026,balrog-kun,20587,2,4318130,2010-04-04T00:48:50Z
10388129,balrog-kun,20587,2,4318130,2010-04-04T00:51:48Z
10389210,DaveHansenTiger,7168,1,324731,2007-10-27T02:49:27Z
16960296,Stevestr,571489,6,20134480,2014-01-22T02:41:59Z
16962635,DaveHansenTiger,7168,1,340225,2007-12-17T22:36:52Z
16964498,balrog-kun,20587,2,4334369,2010-04-05T15:49:14Z
16965998,killian,392708,6,22091865,2014-05-02T19:00:18Z
16967672,GPS_dr,117055,2,20097313,2014-01-20T04:37:26Z
16969254,balrog-kun,20587,2,4318130,2010-04-04T01:30:22Z
16970941,GPS_dr,117055,3,15649177,2013-04-08T05:43:45Z
16972399,Mark Newnham,994480,3,28651178,2015-02-06T12:45:59Z
16974101,Stevestr,571489,3,30220354,2015-04-14T19:35:34Z
16975647,balrog-kun,20587,2,4318130,2010-04-04T01:42:01Z
16977516,balrog-kun,20587,2,4318130,2010-04-04T01:45:16Z
16978772,balrog-kun,20587,2,4318130,2010-04-04T01:48:04Z
16980278,balrog-kun,20587,2,4318130,2010-04-04T01:50:54Z
16981604,WmofColo,2181182,5,24424429,2014-07-29T15:33:44Z
16982533,balrog-kun,20587,2,4318130,2010-04-04T01:54:04Z
16983264,balrog-kun,20587,2,4318130,2010-04-04T01:56:35Z
16983951,balrog-kun,20587,3,4318130,2010-04-04T01:59:15Z
16984640,Your Village Maps,227972,3,32664561,2015-07-16T00:31:33Z
16985341,GPS_dr,117055,4,6571061,2010-12-07T05:12:16Z
16986610,balrog-kun,20587,3,4318130,2010-04-04T02:07:02Z
16987909,balrog-kun,20587,4,4318130,2010-04-04T02:09:40Z
16989035,Your Village Maps,227972,5,24713507,2014-08-13T00:50:16Z
16990469,balrog-kun,20587,2,4318132,2010-04-03T22:49:27Z
16991601,balrog-kun,20587,2,4318132,2010-04-03T22:52:11Z
16992688,balrog-kun,20587,2,4318132,2010-04-03T22:54:18Z
16993779,hey ok,293012,4,7969430,2011-04-25T21:51:49Z
16995018,jjyach,2103318,3,34345754,2015-09-30T12:17:44Z
16996266,balrog-kun,20587,2,4318132,2010-04-03T23:00:50Z
16997741,balrog-kun,20587,2,4318132,2010-04-03T23:05:04Z
