id,node_id,position
6148281,3534220117,0
6148281,3534220158,1
6148281,3534220169,2
6148281,3534220227,3
6148281,50913671,4
6148281,3534220198,5
6148281,50913672,6
6148281,50913674,7
6174413,51296757,0
6174413,51303985,1
6174413,51303986,2
6174413,51303987,3
6174413,51303988,4
6174413,51303989,5
6174413,51303990,6
6174413,51303991,7
6174413,51303992,8
6174413,51303993,9
6174413,51303994,10
6174413,51303995,11
7675790,55736539,0
7675790,55736540,1
7678765,3357179205,0
7678765,3357179207,1
7678765,3357179206,2
7678765,55756396,3
7678765,55813773,4
7684122,55800258,0
7684122,55800259,1
7684122,55800260,2
7684122,55800263,3
7684122,55800265,4
7684122,55800266,5
7684122,55800268,6
7684122,55800270,7
7684122,55800272,8
7684122,55800273,9
7684122,55800274,10
7684122,55800275,11
7684122,55800276,12
7684122,55800277,13
7684122,55800280,14
7684122,55800281,15
7684122,55800282,16
7689644,55841916,0
7689644,55841917,1
7689644,55841919,2
7689644,55745025,3
7689644,55841924,4
7689644,55841925,5
7689644,55841926,6
7689644,55841928,7
7689644,55841929,8
7689644,55841930,9
7689644,55841932,10
7689644,55841934,11
7689644,55841936,12
7689644,55841937,13
7689644,55841938,14
7689644,55841939,15
7689644,55841941,16
7689644,55801457,17
10380023,88425541,0
10380023,88425543,1
10380023,88425544,2
10380023,88425532,3
10382278,88451769,0
10382278,88451771,1
10383434,735991090,0
10383434,88468153,1
10383434,88468155,2
10383434,88468157,3
10383434,88468158,4
10383434,661224103,5
10383434,88468162,6
10383434,88468164,7
10383434,88452725,8
10383434,88468168,9
10383434,88468170,10
10383434,88468172,11
10383434,1209114507,12
10383434,88468174,13
10383434,88468176,14
10383434,1209114531,15
10383434,88468177,16
10383434,88468179,17
10383434,88468180,18
10383434,88468181,19
10383434,88468182,20
10383434,88468184,21
10383434,1209114522,22
10383434,88468185,23
10383434,88468186,24
10383434,88468187,25
10383434,88468190,26
10383434,88443466,27
10383434,88468192,28
10383434,88468194,29
10383434,1114401601,30
10384595,88484307,0
10384595,1038486890,1
10384595,1038486891,2
10384595,1038486892,3
10384595,1038486893,4
10384595,1038486894,5
10384595,1038486895,6
10384595,1038486896,7
10384595,1038486897,8
10384595,1038486898,9
10384595,1038486899,10
10384595,1038486900,11
10384595,1038486901,12
10384595,1038486902,13
10384595,1038486903,14
10384595,1038486904,15
10384595,1038486905,16
10384595,1038486906,17
10384595,1038486907,18
10384595,88483750,19
10384595,88483753,20
10384595,88483756,21
10384595,88483761,22
10384595,88483764,23
10384595,1038485978,24
10384595,88483766,25
10384595,571734057,26
10384595,571733974,27
10385907,88500268,0
10385907,88500270,1
10385907,88500272,2
10385907,88500274,3
10385907,88500276,4
10385907,88500278,5
10385907,1209142530,6
10387026,88515031,0
10387026,88515034,1
10387026,88515036,2
10387026,88515039,3
10387026,88515041,4
10387026,88515044,5
10387026,88515046,6
10387026,88515048,7
10387026,88515051,8
10387026,88430227,9
10387026,88515054,10
10387026,88515057,11
10387026,88515059,12
10387026,88515060,13
10387026,88430189,14
10387026,88515063,15
10387026,88515066,16
10387026,88515068,17
10387026,88515070,18
10387026,88515073,19
10387026,88515076,20
10387026,88515079,21
10387026,88450082,22
10387026,88515082,23
10387026,88445774,24
10387026,88453198,25
10387026,88515085,26
10388129,88529405,0
10388129,88440004,1
10388129,88529407,2
10388129,88529410,3
10388129,88529412,4
10388129,88529413,5
10388129,88529415,6
10388129,88529417,7
10388129,88529420,8
10388129,88529422,9
10388129,88529424,10
10388129,88529405,11
10389210,88539822,0
10389210,88450260,1
16960296,175849334,0
16960296,1440467633,1
16960296,1440467771,2
16960296,1440467782,3
16960296,2631894974,4
16960296,1440467844,5
16960296,175856458,6
16960296,2631894967,7
16960296,2522683277,8
16960296,1440467890,9
16960296,1440467878,10
16960296,1440468170,11
16960296,1440468165,12
16960296,1440467699,13
16960296,1440467648,14
16960296,2631896124,15
16960296,2522683241,16
16960296,2522683240,17
16960296,1440467646,18
16960296,1440468281,19
16960296,1440467847,20
16960296,1413508444,21
16962635,175879941,0
16962635,175879943,1
16962635,175879944,2
16962635,175879945,3
16962635,175879947,4
16962635,175879949,5
16962635,175879950,6
16964498,175898551,0
16964498,175898553,1
16964498,175898554,2
16964498,175898555,3
16964498,175898556,4
16964498,175898557,5
16964498,175898559,6
16964498,175898561,7
16964498,175898563,8
16964498,175898565,9
16965998,1446519504,0
16965998,175914460,1
16965998,175914462,2
16965998,175914464,3
16965998,175897443,4
16965998,175897434,5
16965998,175914466,6
16965998,1446428481,7
16965998,175914468,8
16965998,175914470,9
16965998,175914472,10
16965998,1446428158,11
16965998,175914476,12
16965998,175914478,13
16965998,175914479,14
16965998,175914480,15
16965998,175914482,16
16965998,175914484,17
16965998,175914486,18
16965998,175914488,19
16965998,175914490,20
16965998,175914492,21
16965998,175914494,22
16965998,175914496,23
16965998,175914498,24
16965998,175914500,25
16965998,175914502,26
16965998,175914504,27
16965998,175914506,28
16965998,175914508,29
16967672,175932550,0
16967672,175932552,1
16967672,175932554,2
16967672,175932556,3
16967672,2629381714,4
16967672,2629381713,5
16967672,175932558,6
16969254,175948915,0
16969254,175948917,1
16969254,175948918,2
16969254,175948919,3
16969254,175948921,4
16969254,175948923,5
16969254,175948925,6
16969254,175948928,7
16969254,175948930,8
16969254,175948932,9
16969254,175948934,10
16969254,175948937,11
16969254,175948938,12
16969254,175948939,13
16969254,175948940,14
16969254,175948942,15
16969254,175940146,16
16970941,175935289,0
16970941,175967193,1
16970941,2257182526,2
16972399,175980760,0
16972399,175980761,1
16972399,175980762,2
16972399,175980763,3
16972399,175980765,4
16972399,175980767,5
16972399,175980769,6
16972399,175980771,7
16972399,175980773,8
16972399,175980775,9
16972399,175980777,10
16972399,175980779,11
16972399,175980781,12
16972399,175980783,13
16972399,175980785,14
16972399,175980787,15
16972399,175980789,16
16972399,175980791,17
16972399,175980793,18
16972399,175980795,19
16972399,175980797,20
16972399,175980799,21
16972399,175980802,22
16972399,175980804,23
16972399,175980806,24
16972399,175980810,25
16974101,175996773,0
16974101,3456164130,1
16974101,175996774,2
16974101,175996775,3
16974101,175996776,4
16974101,175996777,5
16974101,175996779,6
16974101,175996780,7
16974101,175996783,8
16974101,175996784,9
16974101,175996785,10
16974101,175996786,11
16974101,175996788,12
16974101,175996789,13
16974101,175996792,14
16974101,175996793,15
16974101,175996794,16
16974101,175996795,17
16974101,175996796,18
16974101,175996797,19
16974101,175996798,20
16974101,175996801,21
16974101,175996802,22
16974101,175996803,23
16974101,175996805,24
16975647,176009963,0
16975647,176009965,1
16975647,176009966,2
16975647,176009967,3
16975647,176009968,4
16975647,176009969,5
16977516,175931139,0
16977516,176027987,1
16977516,176027989,2
16977516,176027991,3
16977516,176027992,4
16977516,176027993,5
16977516,176027994,6
16977516,175931118,7
16978772,175934754,0
16978772,176040070,1
16980278,176002259,0
16980278,176053410,1
16980278,176053412,2
16980278,176053414,3
16980278,176053416,4
16980278,176053418,5
16980278,176053420,6
16980278,176029717,7
16981604,176065797,0
16981604,176065799,1
16981604,176065801,2
16981604,176065802,3
16981604,176065803,4
16981604,666555342,5
16981604,2986093978,6
16981604,176065805,7
16982533,176064054,0
16982533,176074048,1
16982533,176074050,2
16982533,176074052,3
16982533,176074054,4
16982533,176062189,5
16982533,176074056,6
16982533,176074057,7
16982533,176074059,8
16982533,176062211,9
16982533,176074060,10
16982533,176074061,11
16982533,176074062,12
16982533,176074063,13
16982533,176074064,14
16982533,176074065,15
16982533,176074067,16
16982533,176074068,17
16982533,176062601,18
16982533,176062610,19
16982533,176074069,20
16982533,176074070,21
16982533,176074072,22
16982533,176074074,23
16982533,176074075,24
16982533,176074076,25
16982533,176074079,26
16982533,176074081,27
16982533,176074082,28
16982533,176074083,29
16982533,176074084,30
16982533,176062591,31
16982533,176074040,32
16982533,176062600,33
16982533,176074085,34
16982533,176074086,35
16982533,176074087,36
16982533,176074089,37
16982533,176067141,38
16983264,176066804,0
16983264,176080282,1
16983264,176080283,2
16983264,176080284,3
16983264,176080285,4
16983264,176080286,5
16983264,176080288,6
16983264,176080290,7
16983264,176080292,8
16983264,176080293,9
16983264,176080294,10
16983264,176080295,11
16983264,176080297,12
16983264,176080299,13
16983264,176080300,14
16983264,176080301,15
16983264,176080302,16
16983264,176080304,17
16983264,176080306,18
16983264,176080307,19
16983264,176066793,20
16983951,176085607,0
16983951,176085609,1
16983951,176085611,2
16983951,176085613,3
16983951,176085619,4
16984640,176090870,0
16984640,176090871,1
16984640,176090872,2
16985341,176072200,0
16985341,176081009,1
16985341,434572238,2
16985341,434572242,3
16985341,176095670,4
16985341,434572247,5
16985341,434572249,6
16985341,434572252,7
16985341,176087321,8
16985341,176095671,9
16985341,434572263,10
16985341,434572266,11
16985341,1025853217,12
16985341,434572269,13
16985341,176095672,14
16986610,176102985,0
16986610,176093539,1
16986610,433043302,2
16986610,433043305,3
16987909,176084631,0
16987909,176108638,1
16987909,441522013,2
16987909,560229362,3
16987909,176066263,4
16989035,176112850,0
16989035,3013559305,1
16989035,3013559335,2
16989035,3011782407,3
16989035,3013559318,4
16989035,3013559315,5
16989035,176067483,6
16990469,176121584,0
16990469,176121585,1
16990469,176121586,2
16990469,176121587,3
16990469,176121588,4
16990469,176121589,5
16990469,176121590,6
16990469,176121591,7
16990469,176121593,8
16990469,176121595,9
16990469,176121597,10
16990469,176121599,11
16990469,176121601,12
16990469,176121603,13
16990469,176121605,14
16990469,176121607,15
16990469,176121609,16
16990469,176121611,17
16990469,176121613,18
16990469,176121615,19
16990469,176121617,20
16990469,176121619,21
16990469,176121621,22
16990469,176121622,23
16990469,176121624,24
16990469,176121626,25
16990469,176121628,26
16991601,176136072,0
16991601,176135885,1
16992688,176151790,0
16992688,176151792,1
16992688,176151794,2
16992688,176151796,3
16992688,176151798,4
16992688,176151800,5
16992688,176151802,6
16992688,176151804,7
16992688,176151806,8
16993779,176167458,0
16993779,176167460,1
16993779,176167462,2
16993779,176167463,3
16993779,176167469,4
16995018,176182223,0
16995018,3765236955,1
16995018,176182225,2
16995018,176182227,3
16995018,176182229,4
16995018,176182231,5
16995018,176182233,6
16995018,3765236954,7
16995018,176138384,8
16995018,3765236953,9
16995018,176138441,10
16995018,176182235,11
16995018,176182236,12
16995018,3765236952,13
16995018,176182238,14
16995018,3765236951,15
16995018,176182240,16
16995018,176182242,17
16995018,176182244,18
16996266,176195309,0
16996266,176195310,1
16997741,176195348,0
16997741,176209731,1
16997741,176209733,2
16997741,176209735,3
16997741,176209737,4
16997741,176209738,5
16997741,176209740,6
16997741,176209742,7
16997741,176209744,8
16997741,176209746,9
16997741,176209748,10
16997741,176209750,11
16997741,176209752,12
16997741,176209754,13
16997741,176209756,14
16997741,176209759,15
16997741,176209762,16
16997741,176209764,17
16997741,176209766,18
16997741,176209768,19
16997741,176209770,20
16997741,176209772,21
16997741,176209774,22
16997741,176209776,23
16997741,176209777,24
16997741,176209725,25
16997741,176209778,26
16997741,176209779,27
16997741,176209780,28
16997741,176209781,29
16997741,176209782,30
16997741,176209783,31
16997741,176209784,32
16997741,176209785,33
16997741,176195319,34
16999048,176143195,0
16999048,176223313,1
16999048,623767828,2
16999048,176223315,3
16999048,176223317,4
16999048,176223319,5
16999048,176223321,6
16999048,176223323,7
16999048,176223325,8
16999048,623767183,9
16999048,176223327,10
16999048,623767184,11
16999048,176223328,12
16999048,176175170,13
16999048,623767829,14
16999048,176223329,15
16999048,623767830,16
16999048,176223331,17
16999048,176223333,18
16999048,176223335,19
16999048,176223243,20
17000589,176168459,0
17000589,176168343,1
17001908,176143238,0
17001908,176249469,1
17001908,176249470,2
17001908,176249471,3
17001908,176249473,4
17001908,176249474,5
17001908,176249475,6
17001908,176249476,7
17001908,176249477,8
17001908,176249478,9
17001908,176249480,10
17001908,176249482,11
17001908,176249484,12
17001908,176249485,13
17001908,176249486,14
17001908,176249487,15
17001908,176249489,16
17001908,176249490,17
17001908,176249491,18
17001908,176249493,19
17001908,176249495,20
17001908,176249496,21
17001908,176230505,22
17001908,176249497,23
17001908,176249499,24
17001908,176249501,25
17001908,176249502,26
17001908,176249503,27
17001908,176249505,28
17001908,176249507,29
17001908,176249509,30
17001908,1235387883,31
17001908,176230539,32
17001908,176249511,33
17001908,176249513,34
17001908,176249515,35
17001908,176249517,36
17001908,176249519,37
17001908,176249521,38
17001908,176249523,39
17001908,176249525,40
17001908,176249527,41
17001908,176249529,42
17001908,176249531,43
17001908,176249533,44
17001908,176249535,45
17001908,176230471,46
17003477,176261704,0
17003477,176261715,1
17004985,176141207,0
17004985,176274690,1
17004985,176274691,2
17004985,176274692,3
17004985,176274694,4
17004985,176274695,5
17004985,697204710,6
17004985,176274696,7
17006413,176288127,0
17006413,176288128,1
17006413,176288129,2
17006413,176288131,3
17006413,176288133,4
17006413,176124736,5
17007700,176301494,0
17007700,176301571,1
17008978,176314632,0
17008978,176314800,1
17010201,176271843,0
17010201,176327662,1
17010201,176327664,2
17010201,176327666,3
17010201,176327668,4
17010201,176327670,5
17010201,176327672,6
17010201,176327674,7
17010201,176327676,8
17010201,176327679,9
17010201,176327681,10
17010201,176327683,11
17010201,176201476,12
17014061,176372697,0
17014061,176372699,1
17014061,176372701,2
17014061,176372703,3
17014061,176372705,4
17014061,176372707,5
17014061,176372709,6
17014061,176372711,7
17014061,176372714,8
17015744,176374000,0
17015744,176390773,1
17015744,176390774,2
17015744,176382758,3
17015744,176390776,4
17015744,176390779,5
17015744,176390780,6
17015744,176390781,7
17015744,176390782,8
17015744,176390784,9
17015744,1852987368,10
17015744,176390785,11
17015744,176390786,12
17015744,1852987369,13
17015744,176390787,14
17015744,176390791,15
17015744,176390792,16
17015744,176390793,17
17017346,176410582,0
17017346,176410584,1
17018613,176423609,0
17018613,176433233,1
17018613,176433234,2
17018613,176433235,3
17018613,176433237,4
17018613,176433239,5
17018613,176433241,6
17018613,176433243,7
17018613,176433245,8
17018613,176433247,9
17018613,176433249,10
17018613,176433251,11
17018613,176433253,12
17018613,176433255,13
17018613,176433257,14
17018613,176433261,15
17018613,176433262,16
17018613,176433263,17
17018613,176433264,18
17018613,176433265,19
17018613,176433267,20
17018613,176433269,21
17018613,176433270,22
17019837,176454044,0
17019837,176454045,1
17019837,176454046,2
17019837,176454047,3
17019837,176454048,4
17019837,176454049,5
17019837,176454050,6
17019837,176454052,7
17019837,176454055,8
17019837,176454057,9
17019837,176454059,10
17021081,25757813,0
17021081,2043601886,1
17021081,176431657,2
17021081,3640127215,3
17021081,3640127213,4
17021081,2143369757,5
17021081,176471612,6
17021081,176471614,7
17021081,176471617,8
17021081,176471619,9
17021081,2143369774,10
17021081,2143369779,11
17021081,2134749547,12
17021081,1677792789,13
17021081,1363189122,14
17021081,1363189142,15
17021081,176471621,16
17021081,2703566498,17
17021081,4407580942,18
17021081,2135433326,19
17021081,2135433328,20
17021081,2135433330,21
17021081,176471623,22
17021081,176471625,23
17021081,176471627,24
17021081,176438053,25
17021817,176485766,0
17021817,176485767,1
17021817,176485769,2
17021817,176485771,3
17021817,176485772,4
17021817,176485773,5
17021817,176485774,6
17021817,176485776,7
17022597,176498945,0
17022597,176498948,1
17023387,176434964,0
17023387,176512022,1
17023387,176500254,2
17024180,176526265,0
17024180,176526268,1
17024180,176526270,2
17024180,176526272,3
17024180,176526274,4
17024180,176526276,5
17024180,176526278,6
17024180,176526280,7
17024180,176526282,8
17024180,2493289772,9
17024180,176526283,10
17024180,176526284,11
17024180,176526285,12
17024180,176526286,13
17024933,176489167,0
17024933,176485827,1
17024933,176540051,2
17025657,176474835,0
17025657,176557672,1
17025657,176557674,2
17025657,176557676,3
17025657,176557678,4
17025657,176557680,5
17025657,176557682,6
17025657,176557684,7
17025657,176557686,8
17025657,176557688,9
17025657,176557690,10
17025657,176557692,11
17025657,176557694,12
17025657,176557696,13
17025657,176557698,14
17025657,176557699,15
17026426,176570463,0
17026426,176570465,1
17026426,176570467,2
17027185,176415067,0
17027185,176585589,1
17027185,176585591,2
17027185,176585593,3
17027185,176585595,4
17027185,518331929,5
17027185,176421755,6
17027185,176442517,7
17027185,176493633,8
17027185,176585597,9
17027185,176585599,10
17027185,176492408,11
17027185,176451776,12
17027185,176546431,13
17027185,176533500,14
17045418,176919660,0
17045418,176927165,1
17045418,176927167,2
