id,key,value,type
6148281,highway,service,regular
6148281,service,driveway,regular
6148281,cfcc,A41,tiger
6148281,county,Larimer,tiger
6148281,reviewed,no,tiger
6174413,name,Rapid Court,regular
6174413,highway,residential,regular
6174413,cfcc,A41,tiger
6174413,tlid,188554108,tiger
6174413,county,Larimer,tiger
6174413,source,tiger_import_dch_v0.6_20070809,tiger
6174413,reviewed,no,tiger
6174413,name_base,Rapid,tiger
6174413,name_type,Ct,tiger
6174413,separated,no,tiger
7675790,access,private,regular
7675790,highway,service,regular
7675790,cfcc,A74,tiger
7675790,tlid,188717464:188717465,tiger
7675790,county,Weld,tiger
7675790,source,tiger_import_dch_v0.6_20070809,tiger
7675790,reviewed,no,tiger
7675790,upload_uuid,bulk_upload.pl-43c5bf8c-fdce-4ece-96a3-67fb66cd786d,tiger
7678765,name,Streetrbird Avenue,regular
7678765,highway,residential,regular
7678765,cfcc,A41,tiger
7678765,county,Weld,tiger
7678765,reviewed,no,tiger
7684122,name,Chestnut Street,regular
7684122,highway,residential,regular
7684122,cfcc,A41,tiger
7684122,tlid,188739107:188733972:188669872:188669877,tiger
7684122,county,Weld,tiger
7684122,source,tiger_import_dch_v0.6_20070809,tiger
7684122,reviewed,no,tiger
7684122,zip_left,80621,tiger
7684122,name_base,Chestnut,tiger
7684122,name_type,Street,tiger
7684122,separated,no,tiger
7684122,zip_right,80621,tiger
7689644,name,Cottonwood Lane,regular
7689644,highway,residential,regular
7689644,cfcc,A41,tiger
7689644,tlid,188690843:188690849:188744722,tiger
7689644,county,Weld,tiger
7689644,source,tiger_import_dch_v0.6_20070809,tiger
7689644,reviewed,no,tiger
7689644,zip_left,80603,tiger
7689644,name_base,Cottonwood,tiger
7689644,name_type,Lane,tiger
7689644,separated,no,tiger
7689644,zip_right,80603,tiger
10380023,highway,residential,regular
10380023,cfcc,A41,tiger
10380023,tlid,130811026,tiger
10380023,county,Douglas,tiger
10380023,source,tiger_import_dch_v0.6_20070809,tiger
10380023,reviewed,no,tiger
10380023,separated,no,tiger
10380023,upload_uuid,bulk_upload.pl-c1a3122b-a4c4-4903-b8cb-aed56cefa025,tiger
10382278,name,East Dolton Lane,regular
10382278,highway,residential,regular
10382278,cfcc,A41,tiger
10382278,tlid,130818185:130818205:130818208:130818192:130818193:130818198:130818199:130818216:130818217:130818220:130818264:130818223:130818224:130818229:130818230,tiger
10382278,county,Douglas,tiger
10382278,source,tiger_import_dch_v0.6_20070809,tiger
10382278,zip_left,80126,tiger
10382278,name_base,Dolton,tiger
10382278,name_type,Way,tiger
10382278,separated,no,tiger
10382278,zip_right,80126,tiger
10382278,upload_uuid,bulk_upload.pl-c1a3122b-a4c4-4903-b8cb-aed56cefa025,tiger
10382278,name_direction_prefix,S,tiger
10383434,name,Fairview Drive,regular
